=== Training config ===
  algo=random  init=random  gens=2500  popsize=48
  cpus=16  node=p1cmp065.pax.tufts.edu
  outdir=/cluster/home/dparri03/robotics/LBS-1a/sim/results/20260422_005700/random_random_2500
  workdir=/tmp/tmp.GyKOy4F4Wn
  started=Wed Apr 22 09:46:45 EDT 2026

Random search (105 params, popsize=48, gens=2500, 5 cycles/eval)
  workers: 15
gen 348  best=+48.4624  mean=-33.0293  pop_best=+48.4624
gen 349  best=+48.4624  mean=-34.4482  pop_best=+48.4624
gen 350  best=+48.4624  mean=-39.3786  pop_best=+48.4624
gen 351  best=+48.4624  mean=-37.2905  pop_best=+48.4624
gen 352  best=+48.4624  mean=-29.2084  pop_best=+48.4624
gen 353  best=+48.4624  mean=-22.3778  pop_best=+48.4624
gen 354  best=+48.4624  mean=-58.3197  pop_best=+48.4624
gen 355  best=+48.4624  mean=-46.8418  pop_best=+48.4624
gen 356  best=+48.4624  mean=-53.0519  pop_best=+48.4624
gen 357  best=+48.4624  mean=-23.7856  pop_best=+48.4624
gen 358  best=+48.4624  mean=-21.0381  pop_best=+48.4624
gen 359  best=+48.4624  mean=-33.1303  pop_best=+48.4624
gen 360  best=+48.4624  mean=-18.3345  pop_best=+48.4624
gen 361  best=+48.4624  mean=-48.4576  pop_best=+48.4624
gen 362  best=+48.4624  mean=-30.7537  pop_best=+48.4624
gen 363  best=+48.4624  mean=-29.3453  pop_best=+48.4624
gen 364  best=+48.4624  mean=-68.2301  pop_best=+48.4624
gen 365  best=+48.4624  mean=-28.4459  pop_best=+48.4624
gen 366  best=+48.4624  mean=-43.3192  pop_best=+48.4624
gen 367  best=+48.4624  mean=-36.5896  pop_best=+48.4624
gen 368  best=+48.4624  mean=-57.3030  pop_best=+48.4624
gen 369  best=+48.4624  mean=-71.4361  pop_best=+48.4624
gen 370  best=+48.4624  mean=-24.2599  pop_best=+48.4624
gen 371  best=+48.4624  mean=-27.6146  pop_best=+48.4624
gen 372  best=+48.4624  mean=-57.4031  pop_best=+48.4624
gen 373  best=+48.4624  mean=-34.0768  pop_best=+48.4624
gen 374  best=+48.4624  mean=-41.9053  pop_best=+48.4624
gen 375  best=+48.4624  mean=-47.9388  pop_best=+48.4624
gen 376  best=+48.4624  mean=-58.6824  pop_best=+48.4624
gen 377  best=+48.4624  mean=-37.8699  pop_best=+48.4624
gen 378  best=+48.4624  mean=-46.4757  pop_best=+48.4624
gen 379  best=+48.4624  mean=-49.7696  pop_best=+48.4624
gen 380  best=+48.4624  mean=-40.4234  pop_best=+48.4624
gen 381  best=+48.4624  mean=-35.5715  pop_best=+48.4624
gen 382  best=+48.4624  mean=-60.0353  pop_best=+48.4624
gen 383  best=+48.4624  mean=-36.9457  pop_best=+48.4624
gen 384  best=+48.4624  mean=-81.5147  pop_best=+48.4624
gen 385  best=+48.4624  mean=-52.8675  pop_best=+48.4624
gen 386  best=+48.4624  mean=-22.3625  pop_best=+48.4624
gen 387  best=+48.4624  mean=-30.7317  pop_best=+48.4624
gen 388  best=+48.4624  mean=-19.7134  pop_best=+48.4624
gen 389  best=+48.4624  mean=-38.1894  pop_best=+48.4624
gen 390  best=+48.4624  mean=-36.3183  pop_best=+48.4624
